Gene,Category
Pax7,Myogenic Regulatory Factors
Myod1,Myogenic Regulatory Factors
Myf6,Myogenic Regulatory Factors
Myog,Myogenic Regulatory Factors
Myf5,Myogenic Regulatory Factors
Pax3,Myogenic Regulatory Factors
Myh8,Myosin Heavy Chains
Myh1,Myosin Heavy Chains
Myh3,Myosin Heavy Chains
Myh4,Myosin Heavy Chains
Myh2,Myosin Heavy Chains
Myh7,Myosin Heavy Chains
Myl1,Myosin Light Chains
Myl3,Myosin Light Chains
Myl4,Myosin Light Chains
Myl2,Myosin Light Chains
Myl6,Myosin Light Chains
Actg1,Actin & Troponin Complex
Acta1,Actin & Troponin Complex
Tpm1,Actin & Troponin Complex
Tnnc2,Actin & Troponin Complex
Actc1,Actin & Troponin Complex
Tnnt2,Actin & Troponin Complex
Tnnt3,Actin & Troponin Complex
Tnni2,Actin & Troponin Complex
Tpm2,Actin & Troponin Complex
Tnnt1,Actin & Troponin Complex
Tnnc1,Actin & Troponin Complex
Tnni1,Actin & Troponin Complex
Tpm3,Actin & Troponin Complex
Tnni3,Actin & Troponin Complex
Myom1,Sarcomere & Structural
Myom2,Sarcomere & Structural
Neb,Sarcomere & Structural
Des,Sarcomere & Structural
Myom3,Sarcomere & Structural
Vim,Sarcomere & Structural
Ttn,Sarcomere & Structural
Vcam1,Satellite Cell Markers
Cd34,Satellite Cell Markers
Itga7,Satellite Cell Markers
Cxcr4,Satellite Cell Markers
Gdf11,Growth Factors & Signaling
Mstn,Growth Factors & Signaling
Fst,Growth Factors & Signaling
Igf1,Growth Factors & Signaling
Igf2,Growth Factors & Signaling
Hgf,Growth Factors & Signaling
Cdkn1a,Cell Cycle Regulators
Ccnd1,Cell Cycle Regulators
Ccnd2,Cell Cycle Regulators
Ccne2,Cell Cycle Regulators
Ccnd3,Cell Cycle Regulators
Cdkn1b,Cell Cycle Regulators
Cdkn1c,Cell Cycle Regulators
Ccne1,Cell Cycle Regulators
