level2,down,up,total,pct_down,pct_up
Mitochondrial ribosome,16,1,17,94.1,5.9
CI subunits,14,0,14,100.0,0.0
CIV assembly factors,10,0,10,100.0,0.0
CI assembly factors,9,0,9,100.0,0.0
mt-tRNA modifications,3,5,8,37.5,62.5
mtRNA granules,6,2,8,75.0,25.0
Mitochondrial ribosome assembly,7,0,7,100.0,0.0
Fe-S-containing proteins,7,0,7,100.0,0.0
Fatty acid oxidation,2,5,7,28.6,71.4
Translation factors,6,0,6,100.0,0.0
mt-rRNA modifications,6,0,6,100.0,0.0
Nucleotide synthesis and processing,5,1,6,83.3,16.7
TCA cycle,5,0,5,100.0,0.0
Proteases,3,2,5,60.0,40.0
mt-tRNA synthetases,5,0,5,100.0,0.0
Coenzyme Q metabolism,5,0,5,100.0,0.0
Pyruvate metabolism,3,1,4,75.0,25.0
Proline metabolism,3,1,4,75.0,25.0
Folate and 1-C metabolism,3,1,4,75.0,25.0
TCA-associated,4,0,4,100.0,0.0
CV subunits,4,0,4,100.0,0.0
Fe-S cluster biosynthesis,4,0,4,100.0,0.0
NAD biosynthesis and metabolism,4,0,4,100.0,0.0
Xenobiotic metabolism,4,0,4,100.0,0.0
"Q-linked reactions, other",2,1,3,66.7,33.3
Gluconeogenesis,3,0,3,100.0,0.0
mtDNA stability and decay,3,0,3,100.0,0.0
Phospholipid metabolism,2,1,3,66.7,33.3
CIII assembly factors,3,0,3,100.0,0.0
Heme-containing proteins,3,0,3,100.0,0.0
ROS and glutathione metabolism,1,2,3,33.3,66.7
Chaperones,2,1,3,66.7,33.3
CIV subunits,2,0,2,100.0,0.0
TOM,2,0,2,100.0,0.0
Vitamin A metabolism,2,0,2,100.0,0.0
CII subunits,2,0,2,100.0,0.0
Malate-aspartate shuttle,2,0,2,100.0,0.0
mtRNA stability and decay,2,0,2,100.0,0.0
Copper metabolism,2,0,2,100.0,0.0
Lysine metabolism,1,1,2,50.0,50.0
Import motor,2,0,2,100.0,0.0
Ketone metabolism,1,1,2,50.0,50.0
Cytochromes,2,0,2,100.0,0.0
Heme synthesis and processing,1,1,2,50.0,50.0
CV assembly factors,2,0,2,100.0,0.0
mtDNA replication,2,0,2,100.0,0.0
Polycistronic mtRNA processing,2,0,2,100.0,0.0
Nucleotide import,2,0,2,100.0,0.0
Vitamin B12 metabolism,2,0,2,100.0,0.0
mtDNA repair,2,0,2,100.0,0.0
MIA40,1,1,2,50.0,50.0
EF hand proteins,2,0,2,100.0,0.0
Cholesterol-associated,2,0,2,100.0,0.0
fMet processing,2,0,2,100.0,0.0
Glycine metabolism,1,0,1,100.0,0.0
Vitamin B1 metabolism,1,0,1,100.0,0.0
TIM22 carrier pathway,1,0,1,100.0,0.0
Creatine metabolism,1,0,1,100.0,0.0
Mitochondrial permeability transition pore,1,0,1,100.0,0.0
CIII subunits,1,0,1,100.0,0.0
CII assembly factors,1,0,1,100.0,0.0
GABA metabolism,0,1,1,0.0,100.0
Glycerol phosphate shuttle,1,0,1,100.0,0.0
Glyoxylate metabolism,1,0,1,100.0,0.0
Preprotein cleavage,1,0,1,100.0,0.0
Type II fatty acid synthesis,1,0,1,100.0,0.0
Urea cycle,1,0,1,100.0,0.0
Vitamin B6 metabolism,0,1,1,0.0,100.0
Tetrahydrobiopterin synthesis,1,0,1,100.0,0.0
Branched-chain amino acid metabolism,1,0,1,100.0,0.0
Branched-chain amino acid dehydrogenase complex,1,0,1,100.0,0.0
Calcium cycle,1,0,1,100.0,0.0
Transcription,1,0,1,100.0,0.0
Iron homeostasis,0,1,1,0.0,100.0
Biotin utilizing proteins,0,1,1,0.0,100.0
Vitamin B2 metabolism,1,0,1,100.0,0.0
mtDNA nucleoid,1,0,1,100.0,0.0
Molybdenum cofactor synthesis and proteins,0,1,1,0.0,100.0
